# , Name, Short Description,Attachment,Versioning (Git), Author, Datum, Priority, Requirement Type, Event/Use-Case, Customer Satisfaction, Customer Dissatisfaction, Person Responsible
6,Gridlayout,Das Gridlayout der Website. ,,https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%236_Gridlayout.md, Matthias Hertel, 04.06.2017,5 - sehr hoch, Non Functional - Look and Feel, - , , , Matthias Hertel
7,Navbarlayout,Menüstruktur der Navbar. ,,https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%237_Navbarlayout.md, Matthias Hertel, 04.06.2017,5 - sehr hoch, Non Functional - Look and Feel, - , , , Matthias Hertel
8,Landingpagelayout,Hier wird das Layout der Landingpage definiert. ,,https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%238_Landingpagelayout.md, Matthias Hertel, 04.06.2017,5 - sehr hoch, Non Functional - Look and Feel,#21 Produktesuchen , , , Matthias Hertel
9,Produktpagelayout,Hier wird das Layout der Produktpage definiert. ,,https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%239_Produktpagelayout.md, Matthias Hertel, 04.06.2017,5 - sehr hoch, Non Functional - Look and Feel,#13 Produktaktionen , , , Matthias Hertel
10,Warenkorblayout,Hier wird das Layout der Warenkorbpage definiert. ,,https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%2310_Warenkorblayout.md, Matthias Hertel, 04.06.2017,5 - sehr hoch, Non Functional - Look and Feel,#xx Warenkorbaktionen , , , Matthias Hertel
11,Profilepagelayout,Hier wird das Layout der Profilpage definiert. ,,https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%2311_Profilepagelayout.md, Matthias Hertel, 04.06.2017,5 - sehr hoch, Non Functional - Look and Feel,#4 User-Profil , , , Matthias Hertel
