# , Name, Short Description,Attachment,Versioning (Git), Author, Datum, Priority, Requirement Type, Event/Use-Case, Customer Satisfaction, Customer Dissatisfaction, Person Responsible
17,Migrationskonzept,Der Maintainer muss ein ausgereiftes Migrationskonzept haben. ,,https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/maintainability_and_support/%2317_migrationskonzept.md, Matthias Hertel, 04.06.2017,3 - mittel,Non-Functional Maintainability and Support,#17 administratives Migrationsmanagement , , , Matthias Hertel
18,Deploymentkonzept,Der Maintainer muss ein ausgereiftes Deploymentkonzept haben. ,,https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/maintainability_and_support/%2318_deploymentkonzept.md, Matthias Hertel, 04.06.2017,3 - mittel,Non-Functional Maintainability and Support,#18 Deploymentkonzept , , , Matthias Hertel
19,Developmentkonzept,Der Developer muss ein ausgereiftes Developmentkonzept haben. ,,https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/maintainability_and_support/%2319_developmentkonzept.md, Matthias Hertel, 04.06.2017,3 - mittel,Non-Functional Maintainability and Support,#19 Developmentkonzept , , , Matthias Hertel
