# , Name, Requirement Type, Event/Use-Case, Short Description, Customer Satisfaction, Customer Dissatisfaction, Priority, CommitHistory, Datum, Author, Person Responsible
6,Gridlayout, Non Functional - Look and Feel, - ,Das Gridlayout der Website. , , , , https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%236_Gridlayout.md, 04.06.2017, Matthias Hertel, Matthias Hertel
7,Navbarlayout, Non Functional - Look and Feel, - ,Menüstruktur der Navbar. , , , , https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%237_Navbarlayout.md, 04.06.2017, Matthias Hertel, Matthias Hertel
8,Landingpagelayout, Non Functional - Look and Feel,#21 Produktesuchen ,Hier wird das Layout der Landingpage definiert. , , , , https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%238_Landingpagelayout.md, 04.06.2017, Matthias Hertel, Matthias Hertel
9,Produktpagelayout, Non Functional - Look and Feel,#13 Produktaktionen ,Hier wird das Layout der Produktpage definiert. , , , , https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%239_Produktpagelayout.md, 04.06.2017, Matthias Hertel, Matthias Hertel
10,Warenkorblayout, Non Functional - Look and Feel,#xx Warenkorbaktionen ,Hier wird das Layout der Warenkorbpage definiert. , , , , https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%2310_Warenkorblayout.md, 04.06.2017, Matthias Hertel, Matthias Hertel
11,Profilepagelayout, Non Functional - Look and Feel,#4 User-Profil ,Hier wird das Layout der Profilpage definiert. , , , , https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/look_and_feel/%2311_Profilepagelayout.md, 04.06.2017, Matthias Hertel, Matthias Hertel
