# , Name, Requirement Type, Event/Use-Case, Short Description, Customer Satisfaction, Customer Dissatisfaction, Priority, CommitHistory, Datum, Author, Person Responsible
17,Migrationskonzept,Non-Functional Maintainability and Support,#17 administratives Migrationsmanagement ,Der Maintainer muss ein ausgereiftes Migrationskonzept haben. , , , , https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/maintainability_and_support/%2317_migrationskonzept.md, 04.06.2017, Matthias Hertel, Matthias Hertel
18,Deploymentkonzept,Non-Functional Maintainability and Support,#18 Deploymentkonzept ,Der Maintainer muss ein ausgereiftes Deploymentkonzept haben. , , , , https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/maintainability_and_support/%2318_deploymentkonzept.md, 04.06.2017, Matthias Hertel, Matthias Hertel
19,Developmentkonzept,Non-Functional Maintainability and Support,#19 Developmentkonzept ,Der Developer muss ein ausgereiftes Developmentkonzept haben. , , , , https://github.com/MatthiasHertel/productstore/commits/master/requirements/non-functional/maintainability_and_support/%2319_developmentkonzept.md, 04.06.2017, Matthias Hertel, Matthias Hertel
